Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralieninmg/Liter;Mineralisation
Urbacher;9.60;4.20;79.00;475.00;0.0;15.00;1199.00;348.00;0.0;0.0;0.0;2129.80;stark
Valser;10.10;1.60;57.90;436.00;0.0;2.50;1002.00;387.00;0.64;0.0;0.0;1897.74;mittel
Vitaperle;35.40;0.0;38.20;153.00;0.0;0.0;215.00;428.00;0.0;0.0;0.0;869.60;gering
VitaperleQuellwasser;35.20;12.90;40.90;153.00;0.04;51.60;208.00;425.00;0.80;0.0;0.20;927.44;gering
Volvic;11.60;6.20;8.00;11.50;0.0;13.50;8.10;71.00;0.0;0.0;0.0;129.90;extremgering
Wiesenthaler;19.90;4.00;36.30;183.00;0.0;74.10;168.00;461.00;0.0;0.0;0.06;946.36;gering
WinfriedquelleWolftal;90.00;10.00;30.00;200.00;0.0;20.00;190.00;720.00;0.0;0.0;0.0;1260.00;mittel
WinfriedquelleSebastian;70.00;10.00;10.00;50.00;0.0;10.00;40.00;330.00;0.0;0.0;0.0;520.00;gering
Wildbadquelle;40.00;0.0;44.00;177.00;0.0;110.00;214.00;397.00;0.0;0.0;0.0;982.00;gering
Wittmannsthal;54.10;1.80;51.00;174.00;0.02;125.00;293.00;344.00;0.3;0.02;0.63;1043.87;mittel
Weissenburger;4.70;1.70;41.10;153.00;0.002;11.20;235.00;370.00;0.3;0.02;0.61;817.63;gering
