Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralien in mg/Liter;Mineralisation
Randegger;9.10;1.60;30.00;87.00; ;6.10;35.00;378.00;<0.50; ;0.10;546.90;gering
Rangau;377.00;23.00;104.00;617.00; ;578.00;1618.00;394.00;<1.00; ; ;3711.00;extrem stark
Redinger;385.00;13.20;4.57;25.09; ;259.70;2.20;664.20;0.80; ;3.90;1358.66;mittel
Rennsteig;12.40;3.90;26.50;73.20; ;15.30;141.00;186.00; ; ; ;458.30;extrem gering
Residenz Quelle;89.30;12.40;83.70;590.00;0.02;99.40;1488.00;392.70;<0.5;<0.02;0.29;2756.33;sehr stark
Rhenser;64.50;3.80;20.70;109.00; ;73.80;73.00;379.00;3.00;<0.02;0.35;727.17;gering
Rhoen Sprudel;4.90;15.40;25.00;46.20; ;10.30;32.00;234.00;<0.50; ;0.60;368.40;extrem gering
Roemer;18.80;3.77;45.00;569.00;<0.01;9.90;1430.00;187.00;<0.10;<0.005;0.22;2263.69;stark
Romina;7.50;12.00;37.00;137.00; ;3.30;137.00;350.00; ; ;0.60;684.40;gering
Rosbacher;85.00;4.00;92.80;209.00; ;141.00;12.00;1079.00;0.40;<0.02;<0.1;1623.20;mittel
Rosbacher Ur-Quelle;39.30;3.10;131.40;261.60; ;50.00;6.60;1477.00;0.30;<0.02;<0.1;1969.42;mittel
San Pellegrino;44.30;0.00;59.40;202.00;<0.002;69.10;538.00;221.00;1.00;<0.02;0.66;1135.48;mittel
Schillerbrunnen;35.20;12.90;40.90;153.00;0.04;51.60;208.00;425.00;0.80;<0.005;<0.20;927.44;gering
Selters;278.00;14.00;39.10;110.00;0.007;262.00;18.00;805.00;<0.30;<0.02;0.93;1527.04;mittel
Siebers-Quelle;5.40;1.20;19.30;77.40;0.59;2.55;18.20;317.00; ; ;0.13;441.77;extrem gering
Siegsdorfer;9.20;1.00;24.30;92.00; ;16.00;9.90;380.50;6.00; ;0.20;539.10;gering
Silberbrunnen;88.00;4.20;43.00;223.00; ;3.10;485.00;308.00; ; ;0.90;1155.20;mittel
Solander Blauborn Quelle;< 20; ;7.80;30.80; ; ;96.00;36.80; ; ; ;191.40;extrem gering
Sodenthaler;173.00;8.80;59.30;215.00; ;649.00;33.00;232.00;1.30; ;0.25;1371.65;mittel
Spreequell;6.90;1.90;3.70;19.40; ;5.60;74.10;18.70; ; ; ;130.30;extrem gering
Steinau;24.70;2.20;29.00;54.60; ;33.70;27.60;274.00;<2.0;<0.05;0.14;445.94;extrem gering
Stauferquelle;947.00;97.00;119.00;549.00; ;670.00;2335.00;779.00; ; ;2.61;5498.61;extrem stark
Steinsieker;19.40;2.00;40.00;600.00; ;80.00;1320.00;250.00; ; ; ;2311.40;stark
St. Leonardsquelle;6.10;1.20;26.00;85.00; ;9.30;1.90;391.00;<0.05; ; ;520.50;gering
Stolzenbacher Gebirgswasser;0.60; ;22.40;73.20; ;<1.00;3.20;325.00;4.80; ; ;429.20;extrem gering
Taufrisch;8.40;3.20;21.40;91.70;0.003;9.80;36.00;367.00;1.00;0.005;0.57;539.08;gering
Teinacher;100.00;6.20;20.00;100.00; ;20.00;30.00;610.00;8.70; ;0.90;895.80;gering
Teusser;38.00;8.00;82.00;585.00; ;43.00;1450.00;350.00;<2.00; ; ;2558.00;sehr stark
Toenissteiner;108.00;16.10;129.00;165.00;< 0.020;32.10;30.00;1350.00;1.50;<0.005;0.28;1832.00;mittel
Thueringer Waldquelle;28.40;2.90;50.00;106.00; ;39.40;241.00;281.00; ; ; ;748.70;gering
ueberkinger;1090.00;14.10;14.70;22.50; ;100.00;1110.00;1480.00; ; ;2.95;3834.25;extrem stark
Uttinger Keltenbrauerei;8.60;1.50;34.10;82.60; ;1.93;11.30;427.10;0.20;<0.005;0.07;567.40;gering
Urbacher;9.60;4.20;79.00;475.00; ;15.00;1199.00;348.00; ; ; ;2129.80;stark
Valser;10.10;1.60;57.90;436.00; ;2.50;1002.00;387.00;0.64; ; ;1897.74;mittel
Vitaperle;35.40; ;38.20;153.00; ; ;215.00;428.00; ; ; ;869.60;gering
Vitaperle Quellwasser;35.20;12.90;40.90;153.00;0.04;51.60;208.00;425.00;0.80; ;<0.20;927.44;gering
Volvic;11.60;6.20;8.00;11.50; ;13.50;8.10;71.00; ; ; ;129.90;extrem gering
Wiesenthaler;19.90;4.00;36.30;183.00; ;74.10;168.00;461.00; ; ;0.06;946.36;gering
Winfriedquelle Wolftal;90.00;10.00;30.00;200.00; ;20.00;190.00;720.00; ; ; ;1260.00;mittel
Winfriedquelle Sebastian;70.00;10.00;10.00;50.00; ;10.00;40.00;330.00; ; ; ;520.00;gering
Wildbadquelle;40.00; ;44.00;177.00; ;110.00;214.00;397.00; ; ; ;982.00;gering
Wittmannsthal;54.10;1.80;51.00;174.00;0.02;125.00;293.00;344.00;<0.3;<0.02;0.63;1043.87;mittel
Weissenburger;4.70;1.70;41.10;153.00;<0.002;11.20;235.00;370.00;<0.3;<0.02;0.61;817.63;gering
